contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050240008586/230049/00;"{'nameRu': 'ТОО ""АКЛ Авангард""'}";Разработка двух технических документаций для Ульяновского сельского округа;{'nameRu': 'Запрос ценовых предложений'};0.00;500000.00;{'nameRu': 'Услуга'}
050240008586/230048/00;{'nameRu': 'ИП Кожуров С.М.'};Аккумулятор;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;40355.00;{'nameRu': 'Товар'}
050240008586/230047/00;"{'nameRu': 'ТОО ""Kst trade""'}";Талоны на бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;204990.00;{'nameRu': 'Товар'}
050240008586/230045/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";Участие в семинаре по разъяснению отражения в учете налоговых и неналоговых поступлений в бюджет.;{'nameRu': 'Из одного источника путем прямого заключения договора'};70000.00;70000.00;{'nameRu': 'Услуга'}
050240008586/230044/00;"{'nameRu': 'ТОО ""ЭПК-forfait"" (ЭПК-форфайт)'}";Электромонтажные работы по уличному освещению в с.Бегежан;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2171000.00;{'nameRu': 'Работа'}
050240008586/230043/00;{'nameRu': 'ИП МИЗАМБАЕВ НУРЛАН ЗАЙНУЛОВИЧ'};дрова;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};34000.00;34000.00;{'nameRu': 'Товар'}
050240008586/230040/00;{'nameRu': 'ИП БУХАРОВ  ИЛЬЯ  ВЛАДИМИРОВИЧ'};слуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Из одного источника путем прямого заключения договора'};70000.00;70000.00;{'nameRu': 'Услуга'}
050240008586/230039/00;{'nameRu': 'ИП МИЗАМБАЕВ НУРЛАН ЗАЙНУЛОВИЧ'};Кресло руководителя;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};58000.00;58000.00;{'nameRu': 'Товар'}
050240008586/230038/00;{'nameRu': 'ИП МИЗАМБАЕВ НУРЛАН ЗАЙНУЛОВИЧ'};Ремонт бензотриммера;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};29000.00;29000.00;{'nameRu': 'Работа'}
050240008586/230037/00;{'nameRu': 'grup.kzXANULAN'};Шина для легкового автомобиля, радиальная, 205/70 R-15 96H TR928 (Нива Шевроле);{'nameRu': 'Запрос ценовых предложений'};105796.00;105796.00;{'nameRu': 'Товар'}
050240008586/230036/00;"{'nameRu': 'ИП ""EXPERT"" ПРАВДИВЕЦ М.С.'}";Бензотриммер для газонов;{'nameRu': 'Запрос ценовых предложений'};37448.00;37448.00;{'nameRu': 'Товар'}
050240008586/230035/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин АЙ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};91517.86;102500.00;{'nameRu': 'Товар'}
050240008586/230033/01;"{'nameRu': 'ТОО ""QAZAQ TECHNOLOGY LTD""'}";ноутбук;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};383928.57;430000.00;{'nameRu': 'Товар'}
050240008586/230034/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Из одного источника путем прямого заключения договора'};25646.00;25646.00;{'nameRu': 'Услуга'}
050240008586/230033/00;"{'nameRu': 'ТОО ""QAZAQ TECHNOLOGY LTD""'}";ноутбук;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;500001.60;{'nameRu': 'Товар'}
