contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
970240000285/230115/00;{'nameRu': 'ИП Ташатов А.Б.'};Приобретение туристического оборудования;{'nameRu': 'Электронный магазин'};0.00;317640.00;{'nameRu': 'Товар'}
970240000285/230114/00;{'nameRu': 'ИП Ташатов А.Б.'};Приобретение туристического оборудования;{'nameRu': 'Электронный магазин'};0.00;337860.00;{'nameRu': 'Товар'}
970240000285/230113/00;{'nameRu': 'ИП Ташатов А.Б.'};Приобретение туристического оборудования;{'nameRu': 'Электронный магазин'};0.00;322540.00;{'nameRu': 'Товар'}
970240000285/230112/00;{'nameRu': 'ИП Ташатов А.Б.'};Приобретение туристического оборудования;{'nameRu': 'Электронный магазин'};0.00;224080.00;{'nameRu': 'Товар'}
970240000285/230111/00;{'nameRu': 'ИП Техосмотр'};Услуги по техническому контролю (осмотру) дорожных транспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;5000.00;{'nameRu': 'Услуга'}
970240000285/230110/00;"{'nameRu': 'АО ""Страховая компания ""Номад Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};0.00;46568.00;{'nameRu': 'Услуга'}
970240000285/230109/00;{'nameRu': 'ГКП «Житикаракоммунэнерго» ГУ «Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции акимата Житикаринского района»'};Услуги по обеспечению технической водой;{'nameRu': 'Из одного источника путем прямого заключения договора'};844.04;945.33;{'nameRu': 'Услуга'}
970240000285/230017/01;"{'nameRu': 'Коммунальное государственное предприятие ""Житикаринская районная больница"" Управления здравоохранения акимата Костанайской области'}";Медицинский осмотр сотрудников;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};219970.00;219970.00;{'nameRu': 'Услуга'}
970240000285/230046/02;"{'nameRu': 'ТОО ""Дәмді""'}";Обеспечение питания в школе остро нуждающимся учащимся государственных общеобразовательных школ из числа малообеспеченных семей;{'nameRu': 'Конкурс по приобретению услуг по организации питания воспитанников и обучающихся'};3572769.85;9522344.20;{'nameRu': 'Услуга'}
970240000285/230108/00;"{'nameRu': 'ТОО ""Kst trade""'}";Приобретение топлива (Бензин АИ-92 в талонах);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};457566.96;512475.00;{'nameRu': 'Товар'}
