contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
990340002744/230147/00;{'nameRu': 'ИП КАКОРА НАТАЛЬЯ АНАТОЛЬЕВНА'};Развал-схождения автомашины Лада Приора;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;6000.00;{'nameRu': 'Услуга'}
990340002744/230143/00;"{'nameRu': 'ТОО ""СКАЖ и М""'}";Эмаль ПФ-115;{'nameRu': 'Запрос ценовых предложений'};0.00;4368.00;{'nameRu': 'Товар'}
990340002744/230137/00;{'nameRu': 'ИП Сартаева И М'};Работы по ремонту автомашины Лада Приора согласно технической спецификации;{'nameRu': 'Запрос ценовых предложений'};0.00;310000.00;{'nameRu': 'Работа'}
990340002744/230136/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Рамка А3;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};6600.00;7392.00;{'nameRu': 'Товар'}
990340002744/230135/00;{'nameRu': 'ИП ЛЕЩУК ЕЛЕНА ВАСИЛЬЕВНА'};Работы по изготовлению гравитона, формата А5 в количестве 3-х штук,по изготовлению дипломов формата А3 в количестве 3 штуки согласно технической спецификации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};46740.00;46740.00;{'nameRu': 'Работа'}
990340002744/230134/00;"{'nameRu': 'ТОО ""Эталон Авто Костанай""'}";Бензин марка АИ-92;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};183035.71;205000.00;{'nameRu': 'Товар'}
990340002744/230133/00;"{'nameRu': 'ТОО ""Производственно-коммерческая фирма ""Теплосервис""'}";Поверка счетчика горячей воды;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};2000.00;2240.00;{'nameRu': 'Услуга'}
990340002744/230132/00;{'nameRu': 'ИП Бевз'};"Книга.Мэдсен Пири &quot;Пікірталас өнері&quot; Логиканы дұрыс жәнә бұрыс пайдалан";{'nameRu': 'Запрос ценовых предложений'};0.00;5720.00;{'nameRu': 'Товар'}
990340002744/230131/00;{'nameRu': 'ИП ИНЮШКИН ВЛАДИМИР ПЕТРОВИЧ'};Книги;{'nameRu': 'Запрос ценовых предложений'};0.00;20200.00;{'nameRu': 'Товар'}
990340002744/230130/00;"{'nameRu': 'ТОО ""СКАЖ и М""'}";Средство дезинфицирующее,белизна 1 литр;{'nameRu': 'Запрос ценовых предложений'};7720.00;8646.40;{'nameRu': 'Товар'}
990340002744/230129/00;"{'nameRu': 'ИП ""ТАБАРАН А.Г.""'}";Мешки для мусора в упаковке по 30 шт.цвет черный плотные,непрозрачные,объемом 20 литров.;{'nameRu': 'Запрос ценовых предложений'};6450.00;6450.00;{'nameRu': 'Товар'}
990340002744/230128/00;{'nameRu': 'ИП ЕРМОЛАЕВА ЛЮБОВЬ ИОСИФОВНА'};Букет из живых срезанных цветов;{'nameRu': 'Запрос ценовых предложений'};13500.00;13500.00;{'nameRu': 'Товар'}
