contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
101240007790/230062/00;{'nameRu': 'ИП Бурмистров В.В'};заправка картриджа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;18000.00;{'nameRu': 'Услуга'}
101240007790/230060/00;{'nameRu': 'ИП Нуралиев'};сифон 1/2 *40 с гибкой трубой 40-40/50;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};4000.00;4000.00;{'nameRu': 'Товар'}
101240007790/230059/00;{'nameRu': 'ИП URAZBAEV'};монтаж экрана для проектора;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;44887.00;{'nameRu': 'Работа'}
101240007790/230058/00;{'nameRu': 'БОКОВ АНТОН ЮРЬЕВИЧ'};Услуги по фото/видеосъемке;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};60000.00;60000.00;{'nameRu': 'Услуга'}
101240007790/230057/00;{'nameRu': 'ИП ЕРМОЛАЕВА ДАРЬЯ НИКОЛАЕВНА'};составление цветочных композиций из роз (15 роз);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};30000.00;30000.00;{'nameRu': 'Услуга'}
101240007790/230056/00;{'nameRu': 'ИП Нуралиев'};оформление шарами;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;26880.00;{'nameRu': 'Услуга'}
101240007790/230055/00;"{'nameRu': 'ТОО ""АЗАТ-Р""'}";стирка ковра (2,5*5 м);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};9200.00;9200.00;{'nameRu': 'Услуга'}
101240007790/230054/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Prime Service Group-2012""'}";Кәдесый өнімдері (логотипі бар кружка);{'nameRu': 'Запрос ценовых предложений'};25950.00;25950.00;{'nameRu': 'Товар'}
101240007790/230053/00;"{'nameRu': 'ТОО ""ЭлектроМир 2010""'}";кабель 2-х жильный алюминиевый сечение 2х2,5 (белый);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};2100.00;2352.00;{'nameRu': 'Товар'}
101240007790/230052/00;"{'nameRu': 'Товарищество с ограниченной ответственностью """"АйZere Market""""'}";стартер для люминесцентных ламп S 10;{'nameRu': 'Запрос ценовых предложений'};3250.00;3640.00;{'nameRu': 'Товар'}
101240007790/230051/00;"{'nameRu': 'ТОО ""AST Building KZ""'}";текущий ремонт крыльца (оборудование занимаемых зданий и помещений для обеспечения доступа маломобильным группам населения);{'nameRu': 'Запрос ценовых предложений'};700000.00;784000.00;{'nameRu': 'Работа'}
101240007790/230050/00;"{'nameRu': 'ТОО ""СКАЖ и М""'}";мыло жидкое 5 литров;{'nameRu': 'Запрос ценовых предложений'};8700.00;9744.00;{'nameRu': 'Товар'}
101240007790/230049/00;"{'nameRu': 'ТОО ""Мегахост Казахстан""'}";Продление хостинга домена;{'nameRu': 'Запрос ценовых предложений'};0.00;18800.00;{'nameRu': 'Услуга'}
101240007790/230048/00;{'nameRu': 'ИСКЕНДИРОВА'};электро товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};7600.00;8512.00;{'nameRu': 'Товар'}
101240007790/230045/01;{'nameRu': 'ИП СМК'};Перезарядка огнетушителей;{'nameRu': 'Запрос ценовых предложений'};29299.00;29299.00;{'nameRu': 'Услуга'}
101240007790/230047/00;{'nameRu': 'ИП Бекбатшаева'};Средство моющее для стекол с триггером 500 мл;{'nameRu': 'Запрос ценовых предложений'};10990.00;10990.00;{'nameRu': 'Товар'}
101240007790/230046/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Лента двухсторонняя на пенной основе, 24ммx2.5м, белая;{'nameRu': 'Запрос ценовых предложений'};3690.00;4132.80;{'nameRu': 'Товар'}
101240007790/230045/00;{'nameRu': 'ИП СМК'};Перезарядка огнетушителей;{'nameRu': 'Запрос ценовых предложений'};0.00;29299.00;{'nameRu': 'Услуга'}
101240007790/230044/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Экспресс - Пресса""'}";Подписка на второе полугодие 2023 года;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};47555.36;53262.00;{'nameRu': 'Услуга'}
101240007790/230043/00;{'nameRu': 'ИП Синкевич'};Услуги по продувке системы отопления;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};40000.00;40000.00;{'nameRu': 'Услуга'}
101240007790/230042/00;{'nameRu': 'ИП СТЕПАНЕНКО ТАТЬЯНА ВЛАДИМИРОВНА'};Работы по посадке цветов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};38500.00;38500.00;{'nameRu': 'Услуга'}
101240007790/230041/00;"{'nameRu': 'ТОО ""PointService""'}";заправка картриджа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};4000.00;4000.00;{'nameRu': 'Услуга'}
