contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
101040008107/230022/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Приобретение услуги по диагностированию и экспертизе;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;25770.00;{'nameRu': 'Услуга'}
101040008107/230021/00;"{'nameRu': 'ТОО ""КанцЦентр""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};0.00;217014.56;{'nameRu': 'Товар'}
101040008107/230020/00;{'nameRu': 'ИП Усенова'};Приобретение товаров для столовой;{'nameRu': 'Запрос ценовых предложений'};0.00;199580.00;{'nameRu': 'Товар'}
101040008107/230019/00;{'nameRu': 'ИП ДАУРЕНБЕКОВ А.А.'};Приобретение нагревательного элемента;{'nameRu': 'Запрос ценовых предложений'};47400.00;47400.00;{'nameRu': 'Товар'}
101040008107/230018/00;"{'nameRu': 'АО ""Компания по страхованию жизни ""Государственная аннуитетная компания""'}";Обязательное страхование работника от несчастных случаев при исполнении им трудовых (служебных) обязанностей;{'nameRu': 'Из одного источника путем прямого заключения договора'};88276.00;88276.00;{'nameRu': 'Услуга'}
101040008107/230017/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Товары для текущего ремонта;{'nameRu': 'Запрос ценовых предложений'};32040.00;32040.00;{'nameRu': 'Товар'}
101040008107/230016/00;{'nameRu': 'ИП ЕЭС'};Товары для текущего ремонта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};198901.00;198901.00;{'nameRu': 'Товар'}
101040008107/230015/00;{'nameRu': 'ИП ТАРНОВСКАЯ ЮЛИЯ НИКОЛАЕВНА'};Услуги консультационные по 1С;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;70000.00;{'nameRu': 'Услуга'}
101040008107/230013/00;{'nameRu': 'ИП Бектасов'};Приобретение машины сушильной;{'nameRu': 'Запрос ценовых предложений'};207500.00;207500.00;{'nameRu': 'Товар'}
101040008107/230012/00;{'nameRu': 'Шнайдер Е.Ф.'};Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;40000.00;{'nameRu': 'Услуга'}
101040008107/230011/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;10644.87;{'nameRu': 'Услуга'}
101040008107/230010/00;"{'nameRu': 'АО ""КазТрансГаз Аймак""'}";Товарный газ;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;153284.01;{'nameRu': 'Товар'}
101040008107/230009/00;{'nameRu': 'ВЕРШИНИН ПАВЕЛ'};Услуги по откачке септика;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;90000.00;{'nameRu': 'Услуга'}
101040008107/230008/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги доступа к интернету;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;98371.84;{'nameRu': 'Услуга'}
101040008107/230007/00;"{'nameRu': 'ТОО ""Охранная Компания Арыстан""'}";Обслуживание пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};0.00;69660.00;{'nameRu': 'Услуга'}
101040008107/230006/00;{'nameRu': 'ИП СОКОЛОВ ОЛЕГ ВЛАДИМИРОВИЧ'};Обслуживание систем видеонаблюдения;{'nameRu': 'Запрос ценовых предложений'};0.00;90000.00;{'nameRu': 'Услуга'}
101040008107/230005/00;{'nameRu': 'КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ'};Услуги по медицинскому осмотру персонала;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;139206.00;{'nameRu': 'Услуга'}
101040008107/230004/00;{'nameRu': 'ИП ТАРНОВСКАЯ ЮЛИЯ НИКОЛАЕВНА'};Информационно-технологическое сопровождение;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;110000.00;{'nameRu': 'Услуга'}
101040008107/230003/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Лабораторные исследования;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;222975.00;{'nameRu': 'Услуга'}
101040008107/230002/00;"{'nameRu': 'Государственное коммунальное предприятие ""Көмек-Алтын""'}";Услуги холодного водоснабжения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;60000.00;{'nameRu': 'Услуга'}
101040008107/230001/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;375635.00;{'nameRu': 'Товар'}
