contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140012104/230064/00;{'nameRu': 'ИП ALMAMOUNT 2017'};Работы по ремонту/реконструкции электрического, электрораспределительного/регулирующего оборудования и аналогичной аппаратуры;{'nameRu': 'Запрос ценовых предложений'};0.00;10851680.00;{'nameRu': 'Работа'}
050140012104/230063/00;{'nameRu': 'MANCHESTER'};Светильники уличного освещения/;{'nameRu': 'Запрос ценовых предложений'};0.00;167400.00;{'nameRu': 'Товар'}
050140012104/230061/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;70000.00;{'nameRu': 'Услуга'}
050140012104/230059/00;{'nameRu': 'ИП Нуржанова Г С'};Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий);{'nameRu': 'Запрос ценовых предложений'};0.00;85000.00;{'nameRu': 'Услуга'}
050140012104/230050/01;"{'nameRu': 'ТОО ""Dream Ways""'}";Работы по ремонту/благоустройству территории/;{'nameRu': 'Запрос ценовых предложений'};0.00;1624000.00;{'nameRu': 'Услуга'}
050140012104/230058/00;{'nameRu': 'ИП БРЕЙТЕНБЮХЕР ДМИТРИЙ ВИКТОРОВИЧ'};Услуги по техническому/сервисному обслуживанию двигателей автомобильных/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;109000.00;{'nameRu': 'Услуга'}
050140012104/230057/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Лопата для уборки снега;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;56770.00;{'nameRu': 'Товар'}
050140012104/230056/00;{'nameRu': 'ИП Мазкенова'};салфетка для уборки 30*30;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};20688.00;20688.00;{'nameRu': 'Товар'}
050140012104/230055/00;"{'nameRu': 'ИП ""ИРГАСИМОВА АСЕМГУЛЬ МАРАТОВНА""'}";Работы по установке. нанесению знаков. стендов. табличек. надписей;{'nameRu': 'Запрос ценовых предложений'};0.00;348460.00;{'nameRu': 'Работа'}
050140012104/230054/00;{'nameRu': 'ИП УТЕПОВ Т.Х.'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Запрос ценовых предложений'};0.00;95000.00;{'nameRu': 'Услуга'}
050140012104/230053/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуги по экспертизе/анализу/проверке документации;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;516696.00;{'nameRu': 'Услуга'}
050140012104/230052/00;"{'nameRu': '""Алибекова""'}";Работы по ремонту/благоустройству территории/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;1329500.00;{'nameRu': 'Работа'}
050140012104/230051/00;"{'nameRu': 'ТОО ""ЭПК-forfait"" (ЭПК-форфайт)'}";Услуги по техническому обслуживанию электрического, электрораспределительного/регулирующего оборудования и аналогичной аппаратуры;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;735000.00;{'nameRu': 'Работа'}
050140012104/230045/01;{'nameRu': 'ИП ARSENAL'};дихлофос для широкого спектра применения/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;44642.00;{'nameRu': 'Товар'}
050140012104/230050/00;"{'nameRu': 'ТОО ""Dream Ways""'}";Услуги по корректировке технической документации текущего ремонта уличного освещения;{'nameRu': 'Запрос ценовых предложений'};0.00;1450000.00;{'nameRu': 'Услуга'}
050140012104/230049/00;{'nameRu': 'ИП БРЕЙТЕНБЮХЕР ДМИТРИЙ ВИКТОРОВИЧ'};Услуги по техническому/сервисному обслуживанию двигателей автомобильных/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;422000.00;{'nameRu': 'Услуга'}
050140012104/230048/00;"{'nameRu': 'ТОО ""Мунай Трейд kst""'}";Бензин для двигателей с искровым зажиганием/;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;61488.00;{'nameRu': 'Товар'}
050140012104/230047/00;"{'nameRu': 'ТОО ""Мунай Трейд kst""'}";Бензин для двигателей с искровым зажиганием/;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;381288.10;{'nameRu': 'Товар'}
050140012104/230046/00;{'nameRu': 'ИП ИВАЩУК С.И.'};Услуги по вывозу (сбору) неопасных отходов/имущества/материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;142000.00;{'nameRu': 'Услуга'}
050140012104/230045/00;{'nameRu': 'ИП ARSENAL'};дихлофос для широкого спектра применения/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;44642.00;{'nameRu': 'Товар'}
050140012104/230044/00;"{'nameRu': 'ТОО ""Костанайская районная дезинфекционная станция""'}";Услуги санитарные (дезинфекция, дезинсекция, дератизация и аналогичные)/;{'nameRu': 'Запрос ценовых предложений'};0.00;87500.00;{'nameRu': 'Услуга'}
050140012104/230043/00;"{'nameRu': 'ТОО ""Центрум""'}";Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий)/;{'nameRu': 'Запрос ценовых предложений'};0.00;11165.00;{'nameRu': 'Услуга'}
050140012104/230041/00;"{'nameRu': 'ИП ""ДАРХАН""'}";Услуги по корректировке проектной/технической документации/схем/паспортов и аналогичных документов;{'nameRu': 'Запрос ценовых предложений'};0.00;78000.00;{'nameRu': 'Услуга'}
050140012104/230040/00;"{'nameRu': 'ТОО ""КанцЦентр""'}";канцелярские товары;{'nameRu': 'Запрос ценовых предложений'};0.00;62429.92;{'nameRu': 'Товар'}
050140012104/230039/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";канцелярские товары;{'nameRu': 'Запрос ценовых предложений'};0.00;9154.04;{'nameRu': 'Товар'}
050140012104/230038/00;"{'nameRu': '""Zhansultan""'}";Принтер маркиратор;{'nameRu': 'Запрос ценовых предложений'};34179.00;34179.00;{'nameRu': 'Товар'}
050140012104/230036/00;"{'nameRu': 'ТОО ""Tender Consulting Compani""'}";Услуги по корректировке проектной/технической документации/схем/паспортов и аналогичных документов;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;300000.00;{'nameRu': 'Услуга'}
050140012104/230027/01;{'nameRu': 'ИП Танар'};Работы по ремонту улиц;{'nameRu': 'Открытый конкурс'};55123956.25;130814874.00;{'nameRu': 'Работа'}
050140012104/230035/00;"{'nameRu': 'ТОО ""Горизонт-2012""'}";Услуги по размещению неопасных отходов/имущества/материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;7896.00;{'nameRu': 'Услуга'}
050140012104/230034/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Известь;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};39964.00;39964.00;{'nameRu': 'Товар'}
