contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
110640005094/230001/01;{'nameRu': 'Государственное коммунальное предприятие “Кушмурунская теплоэнергетическая компания” акимата Аулиекольского района государственного учреждения “Отдел жилищно – коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата Аулиекольского района”'};Услуги по общему энергоснабжению (теплоэнергия);{'nameRu': 'Из одного источника путем прямого заключения договора'};205868.34;432000.00;{'nameRu': 'Услуга'}
110640005094/230008/01;"{'nameRu': 'АО ""Казахтелеком""'}";услуги доступа к интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};97285.71;217920.00;{'nameRu': 'Услуга'}
110640005094/230009/01;"{'nameRu': 'АО ""Казахтелеком""'}";услуги связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};19951.93;203079.99;{'nameRu': 'Услуга'}
110640005094/230004/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";Услуги по сопровождению и технической поддержке информационной системы;{'nameRu': 'Из одного источника путем прямого заключения договора'};315267.85;706200.00;{'nameRu': 'Услуга'}
110640005094/230005/01;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};142244.11;302078.78;{'nameRu': 'Товар'}
110640005094/230007/01;{'nameRu': 'ИП БУХАРОВ  ИЛЬЯ  ВЛАДИМИРОВИЧ'};услуга по администрированию и техническому обслуживанию по 1-С;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};126000.00;252000.00;{'nameRu': 'Услуга'}
110640005094/230003/01;"{'nameRu': 'АО ""Национальные информационные технологии""'}";Услуги по передаче данных;{'nameRu': 'Из одного источника путем прямого заключения договора'};559710.59;1253751.72;{'nameRu': 'Услуга'}
110640005094/230015/00;{'nameRu': 'ИП Дановская Светлана Николаевна'};Работы по изготовлению жалюзи/занавесок;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};74800.00;74800.00;{'nameRu': 'Работа'}
110640005094/230014/00;"{'nameRu': 'Индивидуальный предприниматель"" Крампец Тамара Ивановна ""'}";Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};17000.00;17000.00;{'nameRu': 'Работа'}
110640005094/230013/00;"{'nameRu': 'Индивидуальный предприниматель"" Крампец Тамара Ивановна ""'}";Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};71500.00;71500.00;{'nameRu': 'Работа'}
110640005094/230012/00;{'nameRu': 'ИП Кожуров С.М.'};Приобретение прочих запасов(аккумулятор автомобильный);{'nameRu': 'Запрос ценовых предложений'};25632.00;28707.84;{'nameRu': 'Товар'}
110640005094/230011/00;"{'nameRu': 'Индивидуальный предприниматель ""ЛЫФАРЬ АЛЕКСАНДР ВЛАДИМИРОВИЧ ""'}";Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};190000.00;190000.00;{'nameRu': 'Услуга'}
110640005094/230010/00;"{'nameRu': 'КГКП ""Аулиекольский сельскохозяйственный колледж"" Управления образования акимата Костанайской области'}";Профессиональное обучение безработных;{'nameRu': 'Договор на услуги государственного образовательного заказа'};2299752.00;2299752.00;{'nameRu': 'Услуга'}
110640005094/230009/00;"{'nameRu': 'АО ""Казахтелеком""'}";услуги связи (Услуги телефонной связи);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};19951.93;203079.99;{'nameRu': 'Услуга'}
110640005094/230008/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к Интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};97285.71;217920.00;{'nameRu': 'Услуга'}
110640005094/230007/00;{'nameRu': 'ИП БУХАРОВ  ИЛЬЯ  ВЛАДИМИРОВИЧ'};услуга по администрированию и техническому обслуживанию програмного обеспечения 1-С;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};126000.00;252000.00;{'nameRu': 'Услуга'}
110640005094/230006/00;"{'nameRu': 'ТОО ""Kst trade""'}";Приобретение топлива,горюче-смазочных материалов(Бензин АИ-92);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};379008.93;424490.00;{'nameRu': 'Товар'}
110640005094/230005/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};142244.11;302078.78;{'nameRu': 'Товар'}
110640005094/230004/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";Обслуживание програмного продукта Парус-КАЗ (Бюджетное финансирование.Бюджетная заявка);{'nameRu': 'Из одного источника путем прямого заключения договора'};315267.85;706200.00;{'nameRu': 'Услуга'}
110640005094/230003/00;"{'nameRu': 'АО ""Национальные информационные технологии""'}";услуги по передаче данных по сетям телекоммуникационным проводным;{'nameRu': 'Из одного источника путем прямого заключения договора'};559710.59;1253751.72;{'nameRu': 'Услуга'}
110640005094/230001/00;{'nameRu': 'Государственное коммунальное предприятие “Кушмурунская теплоэнергетическая компания” акимата Аулиекольского района государственного учреждения “Отдел жилищно – коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата Аулиекольского района”'};теплоэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};205868.34;432000.00;{'nameRu': 'Услуга'}
