contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
970640000933/230024/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Редакция газеты ""Наше время""'}";Услуги по размещению информационных материалов в средствах массовой информации/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};87445.00;200000.00;{'nameRu': 'Услуга'}
970640000933/230023/00;{'nameRu': 'ИП ИВАНОВ О.К.'};Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};55357.15;62000.01;{'nameRu': 'Работа'}
970640000933/230022/00;"{'nameRu': 'АО ""Завод им. С.М. Кирова""'}";Приобретение компьютеров в комплекте;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};0.00;1624000.00;{'nameRu': 'Товар'}
970640000933/230021/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Fintend""'}";Приобретение компьютеров в комплекте;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};0.00;1338400.00;{'nameRu': 'Товар'}
970640000933/230020/00;{'nameRu': 'ИП Олейников А Е'};Работы по установке/монтажу климатического оборудования и систем/вентиляционных систем и оборудования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};300000.00;300000.00;{'nameRu': 'Работа'}
970640000933/230019/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";Услуги по подписке на печатные периодические издания;{'nameRu': 'Из одного источника путем прямого заключения договора'};3600.00;3600.00;{'nameRu': 'Услуга'}
970640000933/230018/00;{'nameRu': 'ИП ГАНЗЕР А.Ю.'};Услуги шиномонтажа шиномонтажа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};9300.00;9300.00;{'nameRu': 'Услуга'}
970640000933/230017/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};Услуги по обучению персонала/сотрудников;{'nameRu': 'Из одного источника путем прямого заключения договора'};48120.00;48120.00;{'nameRu': 'Услуга'}
970640000933/230016/00;"{'nameRu': 'ТОО ""Костанайская жизнь""'}";Работы по ремонту/модернизации компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};7800.00;7800.00;{'nameRu': 'Работа'}
970640000933/230015/00;{'nameRu': 'ИП ИВАНОВ О.К.'};Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};262294.65;293770.01;{'nameRu': 'Работа'}
970640000933/230014/00;"{'nameRu': 'АО ""Страховая Компания ""Сентрас Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};25646.00;25646.00;{'nameRu': 'Услуга'}
970640000933/230013/00;{'nameRu': 'ИП Чеботарев'};Бумага для офисного оборудования;{'nameRu': 'Запрос ценовых предложений'};87984.00;87984.00;{'nameRu': 'Товар'}
970640000933/230012/00;{'nameRu': 'ИП Абдин'};Услуги по удалению неопасных отходов/имущества/материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};25034.67;33400.00;{'nameRu': 'Услуга'}
970640000933/230011/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин для двигателей с искровым зажиганием;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};505901.79;566610.00;{'nameRu': 'Товар'}
970640000933/230010/00;{'nameRu': 'ИП БАУМ А.Т.'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};12900.00;120000.00;{'nameRu': 'Услуга'}
970640000933/230009/00;{'nameRu': 'ИП БАУМ А.Т.'};Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};18600.00;33000.00;{'nameRu': 'Услуга'}
970640000933/230008/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Редакция газеты ""Наше время""'}";Услуги по размещению информационных материалов в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};185180.00;185180.00;{'nameRu': 'Услуга'}
970640000933/230007/00;{'nameRu': 'ИП ЖАПАРОВА А.А.'};Услуги по администрированию и техническому обслуживанию программного обеспечения;{'nameRu': 'Запрос ценовых предложений'};201100.00;268000.00;{'nameRu': 'Услуга'}
970640000933/230006/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};37307.62;60000.00;{'nameRu': 'Услуга'}
970640000933/230005/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия для снабжения потребителей;{'nameRu': 'Из одного источника путем прямого заключения договора'};99794.38;139999.96;{'nameRu': 'Товар'}
970640000933/230004/00;{'nameRu': 'Государственное коммунальное предприятие «Дидар» отдела жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата Денисовского района»'};Услуги по подаче питьевой воды;{'nameRu': 'Из одного источника путем прямого заключения договора'};5397.90;9000.01;{'nameRu': 'Услуга'}
970640000933/230003/00;{'nameRu': 'Государственное коммунальное предприятие «Дидар» отдела жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата Денисовского района»'};Услуги по удалению сточных вод;{'nameRu': 'Из одного источника путем прямого заключения договора'};20061.98;37000.00;{'nameRu': 'Услуга'}
970640000933/230001/00;{'nameRu': 'Государственное коммунальное предприятие «Дидар» отдела жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата Денисовского района»'};Услуги по распределению горячей воды (тепловой энергии) на коммунально-бытовые нужды;{'nameRu': 'Из одного источника путем прямого заключения договора'};186854.07;265000.01;{'nameRu': 'Услуга'}
