contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
930540000437/230611/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;25872.00;{'nameRu': 'Товар'}
930540000437/230609/00;"{'nameRu': 'ИП ""Хасенова Айзада""'}";Унитаз с косым выпуском напольный;{'nameRu': 'Запрос ценовых предложений'};0.00;80070.00;{'nameRu': 'Товар'}
930540000437/230608/00;{'nameRu': 'Респект Групп'};Работы по изготовлению стендов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;29500.00;{'nameRu': 'Работа'}
930540000437/230607/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ЛАСТОЧКА-2021""'}";Приобретение продуктов питания в г. То был (хлеб);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2008800.00;{'nameRu': 'Товар'}
930540000437/230606/00;{'nameRu': 'ИП Джамбулбеков'};Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Запрос ценовых предложений'};0.00;336000.00;{'nameRu': 'Товар'}
930540000437/230605/00;{'nameRu': 'ИП ФЕДИНА МАРИНА ЮРЬЕВНА'};Кукуруза консервированная;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;103577.60;{'nameRu': 'Товар'}
930540000437/230604/00;{'nameRu': 'ИП ФЕДИНА МАРИНА ЮРЬЕВНА'};Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;67401.60;{'nameRu': 'Товар'}
930540000437/230603/00;{'nameRu': 'Индивидуальный предприниматель Радченко Галина Васильевна'};Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Запрос ценовых предложений'};0.00;198240.00;{'nameRu': 'Товар'}
930540000437/230602/00;{'nameRu': 'ИП ФЕДИНА МАРИНА ЮРЬЕВНА'};Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Запрос ценовых предложений'};0.00;570304.00;{'nameRu': 'Товар'}
930540000437/230601/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Запрос ценовых предложений'};0.00;128450.56;{'nameRu': 'Товар'}
930540000437/230600/00;"{'nameRu': 'ИП ""Романов И.П.""'}";Приобретение продуктов питания в г. Тобыл;{'nameRu': 'Запрос ценовых предложений'};0.00;1911644.00;{'nameRu': 'Товар'}
930540000437/230599/00;{'nameRu': 'ИП ФЕДИН СЕРГЕЙ НИКОЛАЕВИЧ'};Замок врезной узкопрофильных дверей;{'nameRu': 'Запрос ценовых предложений'};0.00;31900.00;{'nameRu': 'Товар'}
930540000437/230598/00;{'nameRu': 'ИП НАУРУЗБАЕВА ДАРИЯ КУЛТАЕВНА'};Тройник стальной;{'nameRu': 'Запрос ценовых предложений'};0.00;14445.00;{'nameRu': 'Товар'}
