contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
961240000503/230129/00;"{'nameRu': 'ТОО ""Sportleader""'}";Спортинвентарь ( скакалки, лестница, фишки);{'nameRu': 'Электронный магазин'};0.00;29272.00;{'nameRu': 'Товар'}
961240000503/230121/00;"{'nameRu': 'ТОО ""Promix Group""'}";Шкаф жарочный электрический;{'nameRu': 'Электронный магазин'};0.00;760228.00;{'nameRu': 'Товар'}
961240000503/230117/00;{'nameRu': 'Макаров А.В.'};Брошюровочно-переплетный станок;{'nameRu': 'Электронный магазин'};0.00;105999.99;{'nameRu': 'Товар'}
961240000503/230115/00;"{'nameRu': 'ТОО ""Аяла Дар""'}";Кабинет физики с материально-техническим оснащением;{'nameRu': 'Открытый конкурс'};0.00;13272112.00;{'nameRu': 'Товар'}
961240000503/230114/00;{'nameRu': 'ИП ФЕДИНА НАТАЛЬЯ АНАТОЛЬЕВНА'};Губка для мытья посуды металлическая;{'nameRu': 'Запрос ценовых предложений'};0.00;9400.00;{'nameRu': 'Товар'}
961240000503/230113/00;"{'nameRu': 'ТОО ""Кен - Сауда LTD""'}";Картриджи для смесителя;{'nameRu': 'Запрос ценовых предложений'};0.00;37000.00;{'nameRu': 'Товар'}
961240000503/230112/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Отбеливающее и дезинфицирующее средство;{'nameRu': 'Электронный магазин'};0.00;26900.00;{'nameRu': 'Товар'}
961240000503/230111/00;{'nameRu': 'ИП MADI'};Средство чистящее для чистки унитазов и раковин, гель 750 мл;{'nameRu': 'Электронный магазин'};0.00;112600.00;{'nameRu': 'Товар'}
961240000503/230110/00;{'nameRu': 'ИП Регион 10'};Мыло хозяйственное;{'nameRu': 'Электронный магазин'};0.00;10000.00;{'nameRu': 'Товар'}
961240000503/230109/00;{'nameRu': 'ИП ПРОСКУРА АННА НИКОЛАЕВНА'};Порошок стиральный;{'nameRu': 'Электронный магазин'};0.00;35399.00;{'nameRu': 'Товар'}
961240000503/230108/00;"{'nameRu': 'ТОО ""Salem Smart""'}";Мел школьный;{'nameRu': 'Электронный магазин'};0.00;36800.00;{'nameRu': 'Товар'}
961240000503/230107/00;"{'nameRu': 'ИП ""УНАЕВ Т. Ж.""'}";Средство чистящее для чистки унитазов и раковин;{'nameRu': 'Электронный магазин'};0.00;35000.00;{'nameRu': 'Товар'}
961240000503/230106/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""БАРС-2018""'}";Полотенце бумажное 2-х слойные и туалетная бумага;{'nameRu': 'Электронный магазин'};0.00;652736.00;{'nameRu': 'Товар'}
